ident,type,name,iso_country,iata_code
US-0813,heliport,GEICO Helistop,US,
US-0814,heliport,Melrose Hospital Heliport,US,
US-0815,small_airport,Horning Farms Airstrip,US,
US-0816,small_airport,Malcom Farm Airport,US,
US-0817,small_airport,L&L Airport,US,
US-0818,heliport,Centracare Health-Long Prairie Heliport,US,
US-0819,heliport,High Alpine Heliport,US,
US-0820,small_airport,Aileron Orchards Airport,US,
US-0821,heliport,University of Miami Hospital Heliport,US,
US-0822,heliport,Gray Ranch Company Heliport,US,
US-0823,small_airport,TK Airport,US,
US-0824,small_airport,Murdocks Flying V Airport,US,
US-0825,heliport,Bacon's Heliport,US,
US-0826,small_airport,Rush Springs Airstrip,US,
US-0827,small_airport,Hermann-Faulk Airfield,US,
US-0828,small_airport,Hillview Airport,US,
US-0829,heliport,DR2 Heliport,US,
US-0830,small_airport,Big Bar USFS Airport,US,
US-0832,heliport,Varnell Heliport,US,
US-0833,heliport,Sanford Bagley Heliport,US,
US-0834,heliport,Mercy Clermont Hospital Heliport,US,
US-0835,heliport,UH-Broadview Heights Health Center Heliport,US,
US-0836,small_airport,Chuck's Private Airstrip,US,
US-0837,small_airport,RNR Farms Airport,US,
US-0838,small_airport,White Oak Field,US,
US-0839,small_airport,Wedding Cake Ranch Airport,US,
US-0840,heliport,Manclark Airway Heliport,US,
US-0841,heliport,Ulster Heights Kingdom Heliport,US,
US-0842,small_airport,Carr Creek Airport,US,
US-0843,seaplane_base,Eagles Nest 4 Seaplane Base,US,
US-0844,small_airport,Willow Creek Trading Post Airport,US,
US-0845,seaplane_base,Clearwater Seaplane Base,US,
US-0846,heliport,Northeast Methodist Hospital Ground Heliport,US,
US-0847,small_airport,Reed Mine Airport,US,
US-0848,small_airport,In The Trenches Airport,US,
US-0849,heliport,Marquette Regional Hospital Heliport,US,
US-0850,heliport,Avera Marshall Regional Medical Center Heliport,US,
US-0851,heliport,Meister's Heliport,US,
US-0852,heliport,St Elizabeth's Hospital Heliport,US,
US-0853,small_airport,Rose Ranch Airport,US,
US-0854,heliport,Loma Ridge Communication Center Heliport,US,
US-0855,seaplane_base,Ritz Carlton Grande Lakes Seaplane Base,US,
US-0856,small_airport,Markley Farm Airport,US,
US-0857,small_airport,Hidden Hills Ranch Airport,US,
US-0858,heliport,Air Evac 139 Heliport,US,
US-0859,small_airport,Red Rock South Airport,US,
US-0860,small_airport,Sunrise Valley Ranch Lodge Airport,US,
US-0861,small_airport,Sky Ranch Airport,US,
US-0862,heliport,Air Evac 122 Heliport,US,
US-0863,heliport,Kennedy Health System Heliport,US,
US-0864,heliport,Temecula Valley Hospital Heliport,US,
US-0865,heliport,Rancho Milagro Heliport,US,
US-0866,heliport,Kennedy Memorial Hospital Heliport,US,
US-0867,heliport,Sparrow Clinton Hospital Heliport,US,
US-0868,heliport,Mercy Health Heliport,US,
US-0870,small_airport,Dorton Airport,US,
US-0871,small_airport,Oakhaus Landing Airport,US,
US-0872,heliport,Atlantic Health Jets Training Center Heliport,US,
US-0873,small_airport,Rolling Hills Airport,US,
US-0874,heliport,Black Rock Heliport,US,
US-0875,small_airport,Richmond Plantation Airport,US,
US-0876,heliport,Bell South Airfield Heliport,US,
US-0877,small_airport,P-L Ranch Airport,US,
US-0878,heliport,Clive Holmes Estate Heliport,US,
US-0879,heliport,Beach Mosquito Control District West Heliport,US,
US-0881,small_airport,Mitch Veenstra Airport,US,
US-0882,heliport,The Christ Hospital Medical Center Heliport,US,
US-0883,heliport,Medical Center Barbour Heliport,US,
US-0884,small_airport,Bent Hickory Air Ranch Airport,US,
US-0885,small_airport,Gove County Airport,US,
US-0886,seaplane_base,Lily Lake Seaplane Base,US,
US-0887,small_airport,Shady Lane Airport,US,
US-0889,small_airport,Bar Lazy B Airport,US,
US-0890,small_airport,Miller Airport,US,
US-0893,small_airport,Twin Forks Airport,US,
US-0894,heliport,Guardian Centers of Georgia Heliport,US,
US-0895,small_airport,Woodley 2 Airport,US,
US-0896,heliport,St Joseph's Regional Medical Center Edison Lakes Heliport,US,
US-0897,small_airport,Tracy Airport,US,
US-0900,heliport,Conshohocken Heliport,US,
US-0901,small_airport,Ellis Airport,US,
US-0902,small_airport,LevAirport,US,
US-0903,small_airport,Oldstown Flying Tails Airport,US,
US-0904,small_airport,Muncy Airport,US,
US-0905,small_airport,Rocky Pond Airstrip,US,
US-0906,small_airport,Derick Ultralight Flightpark,US,
US-0907,small_airport,Embarcadero Airport,US,
US-0908,small_airport,Peaster 01 Airport,US,
US-0910,heliport,Claytime Heliport,US,
US-0912,small_airport,Cardinal Field,US,
US-0913,small_airport,Ugashik Narrows Airport,US,
US-0914,heliport,St Vincent North Hospital Heliport,US,
US-0915,heliport,Memorial Hospital Los Banos Heliport,US,
US-0916,small_airport,Zamora Airport,US,
US-0917,heliport,Silo Heliport,US,
US-0918,heliport,Air Evac 86 Heliport,US,
US-0919,small_airport,Blackhawk Airport,US,
US-0920,heliport,Agfertilizers Heliport,US,
US-0921,small_airport,Black I Ranch Airport,US,
US-0922,small_airport,Grass Strip Airport,US,
US-0923,small_airport,Lawles Airport,US,
US-0924,heliport,Mercy Hospital Kingfisher Heliport,US,
US-0925,small_airport,Jim Pettijohn Memorial Airport,US,
US-0926,small_airport,VR Airstrip,US,
US-0928,heliport,Northwestern Medicine Huntley Hospital Heliport,US,
US-0932,small_airport,Koafm Airport,US,
US-0933,heliport,Waldo County General Hospital Heliport,US,
US-0934,balloonport,Murphy's Landing Balloonport,US,
US-0935,heliport,Calais Regional Heliport,US,
US-0936,small_airport,Double Circle Ranch Airport,US,
US-0937,small_airport,Kutcher-Lakeview Airport,US,
US-0938,heliport,Advocate Sherman Hospital Heliport,US,
US-0939,small_airport,Terhark Airport,US,
US-0940,small_airport,Culp Airport,US,
US-0941,seaplane_base,Aero Estates Seaplane Base,US,
US-0942,heliport,Trinity Health Grand Haven Hospital Heliport,US,
US-0943,seaplane_base,Seaplane Scenics at Carillon Point Seaplane Base,US,
US-0945,heliport,North Campus South Lake Hospital Heliport,US,
US-0946,heliport,Brady Sullivan-Elm Helistop,US,
US-0947,heliport,Millinocket Regional Hospital Heliport,US,
US-0948,small_airport,Greater Breezewood Regional Airport,US,
US-0949,small_airport,Yates Restricted Landing Area,US,
US-0950,heliport,Rancho Springs Medical Center EMS Landing Site Heliport,US,
US-0951,small_airport,Two Hearted Airstrip,US,
US-0952,heliport,Grant Regional Health Center Heliport,US,
US-0953,small_airport,Foggy Bottom Airport,US,
US-0955,heliport,SCI Phoenix Heliport,US,
US-0956,small_airport,Sweet Springs Airport,US,
US-0957,seaplane_base,Harmon Seaplane Base,US,
US-0958,heliport,Redmond Regional Medical Center Heliport,US,
US-0959,heliport,York Hospital Heliport,US,
US-0960,heliport,Tufts Medical Center Heliport,US,
US-0961,small_airport,A J Patrol Airport,US,
US-0962,small_airport,Big Sandy Airport,US,
US-0963,small_airport,Seven J Stock Farm Airport,US,
US-0964,small_airport,Ranch at Double Gates Airport,US,
US-0965,heliport,South Campus South Lake Hospital Heliport,US,
